epoch, accuracy          , learning_rate        , loss                , val_accuracy      , val_loss
    0, 0.8327480554580688, 0.0010000000474974513, 0.1435844749212265  , 0.8968759179115295, 0.10337606817483902
    1, 0.9035064578056335, 0.0010000000474974513, 0.09392482042312622 , 0.9103268980979919, 0.09323092550039291
    2, 0.9215367436408997, 0.0010000000474974513, 0.08124364167451859 , 0.9156783223152161, 0.08676783740520477
    3, 0.9278264045715332, 0.0010000000474974513, 0.07179142534732819 , 0.9240671396255493, 0.08003278821706772
    4, 0.926201581954956 , 0.0010000000474974513, 0.07016424089670181 , 0.9122071266174316, 0.07856862246990204
    5, 0.9301850199699402, 0.0010000000474974513, 0.06567027419805527 , 0.9161122441291809, 0.07744704186916351
    6, 0.9327532649040222, 0.0010000000474974513, 0.06226538494229317 , 0.9237778186798096, 0.07499849051237106
    7, 0.9395670890808105, 0.0010000000474974513, 0.057876791805028915, 0.8922476172447205, 0.0790884867310524
    8, 0.9347974061965942, 0.0010000000474974513, 0.057262785732746124, 0.9213190674781799, 0.07034347206354141
9,0.937680184841156,0.0010000000474974513,0.05432714521884918,0.9227653741836548,0.07112311571836472
